,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
43,New Norfolk,75,AU,1542430800,67,-42.78,147.06,57.2,19.46
44,Kodiak,1,US,1542430380,89,39.95,-94.76,35.96,8.86
45,Ponta Delgada,20,PT,1542430800,67,37.73,-25.67,59.0,10.29
46,Puerto Ayacucho,92,CO,1542432006,100,5.66,-67.63,74.87,2.93
47,Aginskoye,36,RU,1542432006,50,51.11,114.54,22.94,9.98
48,Dikson,24,RU,1542432006,90,73.51,80.55,9.67,38.16
49,Vestmannaeyjar,92,IS,1542432007,92,63.44,-20.27,49.04,32.79
50,Yagodnoye,44,RU,1542432007,89,62.52,149.63,-8.79,1.92
51,Tabou,92,CI,1542432007,100,4.42,-7.36,79.37,4.61
52,Jamestown,0,AU,1542432008,28,-33.21,138.6,74.83,9.64
53,Georgetown,92,GY,1542432008,85,6.8,-58.16,79.01,6.4
54,Avarua,75,CK,1542430800,88,-21.21,-159.78,80.6,14.99
55,Longyearbyen,75,NO,1542430200,62,78.22,15.63,21.2,10.29
56,Upernavik,80,GL,1542432009,100,72.79,-56.15,21.59,13.22
57,Katsuura,40,JP,1542427200,59,33.93,134.5,62.6,8.05
58,Ilulissat,44,GL,1542430200,79,69.22,-51.1,21.2,6.93
59,Bilibino,0,RU,1542432009,53,68.06,166.44,-31.96,2.59
60,Ballina,88,IE,1542431815,93,54.11,-9.15,53.99,19.04
61,Clifton Springs,90,US,1542428580,81,42.96,-77.14,37.04,13.87
62,Klaksvik,0,FO,1542430200,93,62.23,-6.59,48.2,11.41
63,Qaanaaq,20,GL,1542432013,100,77.48,-69.36,-10.14,5.39
64,Puerto Ayora,68,EC,1542432013,100,-0.74,-90.35,72.8,11.54
65,Atuona,92,PF,1542432014,100,-9.8,-139.03,80.99,17.47
66,Lebu,68,ET,1542432014,81,8.96,38.73,57.41,3.83
67,Buy,92,RU,1542432014,92,58.48,41.53,31.72,13.44
68,Mwandiga,68,TZ,1542432014,100,-4.84,29.66,76.4,5.5
69,Cabo San Lucas,90,MX,1542429600,72,22.89,-109.91,68.0,3.36
70,Port Elizabeth,75,US,1542430560,74,39.31,-74.98,42.98,6.93
71,Madaoua,0,NE,1542432015,61,14.07,5.96,57.41,4.05
72,Otane,64,NZ,1542432015,49,-39.89,176.62,65.42,4.61
73,Hithadhoo,76,MV,1542432015,100,-0.6,73.08,83.06,11.65
74,Pevek,0,RU,1542432016,100,69.7,170.27,-9.78,2.93
75,Russell,0,AR,1542430800,55,-33.01,-68.8,66.2,3.36
76,Konongo,0,GH,1542432016,94,6.62,-1.21,69.43,3.71
77,Oranjestad,20,AW,1542430800,78,12.52,-70.03,82.4,16.11
78,Gat,24,SN,1542432017,77,14.69,-16.54,72.62,10.98
79,Barrow,80,AR,1542432017,64,-38.31,-60.23,58.4,21.83
80,Lima,36,PE,1542431821,80,-12.06,-77.04,54.13,2.71
81,Esperance,40,TT,1542427200,94,10.24,-61.45,77.0,6.73
82,Shubarshi,0,KZ,1542432020,70,48.59,57.19,18.71,2.82
83,Marienburg,20,DE,1542430200,88,52.12,9.98,33.8,10.29
84,Daulatpur,0,BD,1542432021,56,22.87,89.53,88.37,7.4
85,Port Hardy,40,CA,1542428580,100,50.7,-127.42,37.4,2.24
86,Luderitz,8,NA,1542432021,73,-26.65,15.16,61.82,21.16
87,Geraldton,90,CA,1542427200,85,49.72,-86.95,12.2,12.75
88,Luanda,90,AO,1542427200,88,-8.83,13.24,77.0,2.24
89,Nouadhibou,0,MR,1542427200,88,20.93,-17.03,64.4,8.05
90,Sinnamary,80,GF,1542432022,100,5.38,-52.96,76.58,7.74
91,Nkowakowa,0,ZA,1542432022,44,-23.89,30.29,77.35,3.04
92,Carnarvon,0,ZA,1542432023,31,-30.97,22.13,65.6,5.84
93,Punta Arenas,75,CL,1542430800,65,-53.16,-70.91,41.0,10.29
94,Iqaluit,20,CA,1542427200,68,63.75,-68.52,-14.81,11.41
95,Aklavik,40,CA,1542427200,76,68.22,-135.01,-11.21,4.7
96,Mayor Pablo Lagerenza,0,PY,1542432023,75,-19.93,-60.77,80.5,6.17
97,Wilmington,20,US,1542430260,81,39.75,-75.55,37.94,3.36
98,Pontian Kecil,75,MY,1542430800,83,1.48,103.39,86.0,3.36
99,Port Keats,0,AU,1542432024,83,-14.25,129.55,90.26,7.18
100,Adrar,0,DZ,1542427200,55,27.87,-0.29,60.8,18.34
101,Bilma,0,NE,1542432024,49,18.69,12.92,51.07,2.93
102,Victoria,75,BN,1542429000,79,5.28,115.24,87.8,2.24
103,Rorvik,68,NO,1542431759,100,64.86,11.24,46.12,9.98
104,Saint George,75,GR,1542430200,76,39.45,22.34,50.0,19.46
105,Lompoc,90,US,1542430680,90,34.64,-120.46,57.92,2.04
106,Kajaani,0,FI,1542430200,80,64.22,27.73,41.0,14.99
107,Patiya,0,BD,1542427200,57,22.3,91.98,80.6,3.49
108,Port Alfred,0,ZA,1542432026,84,-33.59,26.89,66.23,17.69
109,Ngunguru,64,NZ,1542432026,94,-35.62,174.5,63.13,7.18
110,Nikolskoye,75,RU,1542429000,81,59.7,30.79,44.6,11.18
111,Dukat,24,RS,1542432026,73,42.44,22.31,19.61,2.26
112,Praia da Vitoria,40,PT,1542430800,93,38.73,-27.07,53.6,29.1
113,Manicore,88,BR,1542432027,97,-5.81,-61.3,73.7,1.92
114,Touros,92,BR,1542432027,86,-5.2,-35.46,78.43,13.0
115,Shingu,20,JP,1542427200,49,33.72,135.99,68.0,13.87
116,Kibuye,48,RW,1542432027,97,-2.07,29.35,65.47,1.36
117,Saldanha,24,PT,1542432028,86,41.42,-6.55,38.06,3.15
118,Pochutla,5,MX,1542429600,69,15.74,-96.47,77.0,8.05
119,Norman Wells,20,CA,1542427200,74,65.28,-126.83,-23.81,2.24
120,Somerset East,24,ZA,1542432028,68,-32.72,25.59,61.82,2.37
121,Seoul,90,KR,1542430560,34,37.57,126.98,51.8,4.7
122,Cap-aux-Meules,88,CA,1542432028,100,47.38,-61.86,36.62,30.0
123,Tura,0,IN,1542432029,68,25.52,90.21,77.66,4.83
124,Waipawa,92,NZ,1542432029,46,-39.94,176.59,66.59,2.37
125,Hirara,75,JP,1542427200,78,24.8,125.28,78.8,11.41
126,Thompson,75,CA,1542427200,76,55.74,-97.86,-4.01,8.05
127,Cape Town,20,ZA,1542428880,72,-33.93,18.42,60.8,5.82
128,San Cristobal,75,EC,1542430800,93,-0.39,-78.55,53.6,2.24
129,Khatanga,64,RU,1542432030,75,71.98,102.47,8.05,18.48
130,Chuy,0,UY,1542432030,90,-33.69,-53.46,62.45,15.12
131,Mount Isa,100,AU,1542430800,18,-20.73,139.49,102.2,10.29
132,Chokurdakh,44,RU,1542432030,65,70.62,147.9,-8.11,4.61
133,Guerrero Negro,24,MX,1542432031,97,27.97,-114.04,53.95,3.71
134,Obregon,1,US,1542430620,35,32.86,-114.79,59.0,3.36
135,Monrovia,75,LR,1542429000,94,6.33,-10.8,75.2,3.04
136,Indianola,1,US,1542431700,63,40.24,-100.42,44.96,11.41
137,Provideniya,92,RU,1542432031,100,64.42,-173.23,34.15,2.26
138,Nattarasankottai,40,IN,1542429000,66,9.87,78.55,84.2,3.94
139,Grindavik,90,IS,1542430800,93,63.84,-22.43,51.8,38.03
140,Kalvarija,68,LT,1542432032,100,54.41,23.23,22.13,1.7
141,Jiblah,8,YE,1542432032,56,13.92,44.15,69.56,2.15
142,Ukiah,1,US,1542430560,59,39.15,-123.21,44.06,2.04
143,Imbituba,20,BR,1542430800,93,-28.24,-48.67,64.4,16.46
144,Amot,0,NO,1542432033,76,59.57,7.99,25.1,2.15
145,Takoradi,0,GH,1542432033,100,4.89,-1.75,79.73,6.4
146,Kloulklubed,90,PW,1542426600,83,7.04,134.26,80.6,10.29
147,Namibe,76,AO,1542432033,100,-15.19,12.15,74.33,13.44
148,Tilichiki,24,RU,1542432034,92,60.47,166.1,-21.34,3.15
149,Colares,20,PT,1542430800,93,38.8,-9.45,57.2,6.93
150,Nemuro,75,JP,1542427200,70,43.32,145.57,42.8,5.82
151,Saskylakh,68,RU,1542432035,58,71.97,114.09,-20.08,6.4
152,Shakiso,92,ET,1542432035,100,5.77,38.9,59.3,3.15
153,Loja,80,EC,1542431883,97,-4.0,-79.2,58.45,1.14
154,Okha,32,RU,1542431834,97,53.59,142.95,21.77,17.69
155,Souillac,90,FR,1542430800,100,45.6,-0.6,50.0,8.05
156,San Pedro,0,AR,1542432036,65,-33.68,-59.66,69.88,16.69
157,Northam,0,GB,1542430200,100,51.04,-4.21,48.2,12.75
158,Ustyuzhna,92,RU,1542432037,100,58.84,36.43,34.55,11.77
159,Komsomolskiy,88,RU,1542432037,95,67.55,63.78,32.53,8.86
160,Kysyl-Syr,56,RU,1542432037,64,63.9,122.77,-14.19,2.71
161,Marsh Harbour,12,BS,1542432038,100,26.54,-77.06,77.75,14.56
162,Faanui,56,PF,1542432038,98,-16.48,-151.75,82.79,8.97
163,Ferme-Neuve,92,CA,1542432038,100,46.7,-75.45,25.82,5.39
164,Beloha,0,MG,1542432038,47,-25.17,45.06,86.35,9.75
165,Mahebourg,40,MU,1542427200,65,-20.41,57.7,78.8,10.29
166,Mogzon,44,RU,1542432039,46,51.74,111.97,13.9,12.44
167,Bouna,12,CI,1542432039,77,9.27,-3.0,75.68,9.19
168,Yar-Sale,80,RU,1542432039,97,66.83,70.83,23.12,15.68
169,Honiara,75,SB,1542430800,70,-9.43,159.96,87.8,4.7
170,Carman,36,CA,1542429300,100,49.51,-98.0,8.6,10.29
171,Beausejour,20,CA,1542427200,77,50.06,-96.51,1.4,9.17
172,Avera,1,US,1542431460,96,33.19,-82.53,48.02,5.28
173,Davila,75,PH,1542427200,70,18.47,120.58,86.0,6.93
174,Nanortalik,80,GL,1542432043,93,60.14,-45.24,32.08,34.14
175,Tamandare,48,BR,1542432043,95,-8.28,-70.75,75.77,2.37
176,Joao Pinheiro,92,BR,1542432044,97,-17.74,-46.17,67.0,9.98
177,Flinders,75,AU,1542427200,56,-34.58,150.85,68.0,13.87
178,Piopio,76,CL,1542430800,100,-42.79,-73.57,44.6,3.36
179,Yamada,75,JP,1542427200,82,36.58,137.08,57.2,1.12
180,Cockburn Town,88,TC,1542432044,99,21.46,-71.14,81.53,14.45
181,Cartagena,92,ES,1542430800,88,37.63,-1.0,62.6,9.17
182,Llanes,8,ES,1542432045,86,43.42,-4.75,42.11,2.59
183,Kitui,92,KE,1542432045,100,-1.37,38.02,66.37,4.27
184,Castro,76,CL,1542432045,100,-42.48,-73.76,44.32,3.94
185,Melilla,75,EC,1542430800,88,-0.8,-80.23,73.4,8.05
186,Aswan,0,EG,1542432046,81,24.09,32.9,61.42,6.17
187,Ribeira Grande,80,PT,1542432046,100,38.52,-28.7,62.68,31.9
188,Zelenogorsk,75,RU,1542429000,81,60.2,29.71,44.6,11.18
189,Hovd,75,NO,1542430200,100,63.83,10.7,48.2,3.71
190,Varkaus,90,FI,1542430200,81,62.32,27.87,44.6,9.17
191,Fortuna,75,ES,1542430800,93,38.18,-1.13,62.6,9.17
192,El Astillero,0,ES,1542430800,63,43.4,-3.82,62.6,10.29
193,Lotofaga,75,WS,1542427200,79,-13.98,-171.86,84.2,4.7
194,Hasaki,75,JP,1542429000,45,35.73,140.83,66.2,13.87
195,Raudeberg,64,NO,1542430200,87,61.99,5.14,50.0,6.93
196,Heihe,0,RU,1542429000,44,50.24,127.51,19.4,8.95
197,La Ronge,5,CA,1542427200,77,55.1,-105.3,-0.41,5.82
198,Salimpur,0,IN,1542432048,46,28.13,76.28,77.35,4.61
199,Torbay,90,CA,1542427200,92,47.66,-52.73,28.4,20.8
200,Westport,20,IE,1542432049,93,53.8,-9.52,53.77,19.37
201,Ambatofinandrahana,0,MG,1542432049,55,-20.55,46.8,72.53,3.6
202,Alofi,80,NU,1542427200,78,-19.06,-169.92,78.8,8.05
203,Ossora,44,RU,1542432049,100,59.24,163.07,12.41,5.28
204,Synya,92,RU,1542432049,99,65.37,58.04,34.33,5.39
205,Port-Gentil,92,GA,1542432050,100,-0.72,8.78,78.38,9.75
206,Fostoria,90,US,1542431700,84,43.24,-95.16,29.84,18.34
207,Bonito,12,BR,1542432050,92,-21.13,-56.49,74.6,3.04
208,Hibbing,40,US,1542429300,77,47.43,-92.94,19.4,8.05
209,Calvinia,20,ZA,1542431840,65,-31.47,19.78,55.97,4.05
210,Wahpeton,90,US,1542431700,72,46.27,-96.61,19.4,9.17
211,Pasewalk,0,DE,1542430800,94,53.51,13.99,32.0,5.82
212,Yatou,75,CM,1542427200,94,3.63,9.81,77.0,2.24
213,Akdepe,0,TM,1542429000,48,42.05,59.39,24.8,11.41
214,Borogontsy,68,RU,1542432051,74,62.67,131.17,-3.21,3.94
215,Zheleznodorozhnyy,0,RU,1542429000,62,55.75,38.0,26.6,8.95
216,Gornopravdinsk,80,RU,1542432052,87,60.06,69.92,17.95,4.16
217,Leningradskiy,32,RU,1542432052,100,69.38,178.42,12.82,3.94
218,Porbandar,0,IN,1542429000,45,21.64,69.61,82.4,5.28
219,Kargasok,0,RU,1542432052,75,59.06,80.87,3.28,3.6
220,Mudgee,56,AU,1542432053,71,-32.6,149.59,69.47,10.42
221,Skjervoy,92,NO,1542432053,100,70.03,20.97,44.36,28.21
222,Verkhnyaya Inta,92,RU,1542432053,97,65.99,60.32,34.1,5.17
223,Vardo,90,US,1542429600,83,39.62,-77.74,42.8,6.51
224,Owasso,1,US,1542429300,66,36.27,-95.86,51.98,9.17
225,Svobodnyy,20,RU,1542432053,55,53.85,40.53,7.33,2.93
226,Tamiahua,88,MX,1542432054,100,21.28,-97.45,66.77,6.73
227,Chernyshevskiy,36,RU,1542432054,100,63.01,112.47,-1.23,5.17
228,Kaohsiung,75,TW,1542429000,66,22.62,120.31,86.0,8.05
229,Jatiroto,0,ID,1542432054,85,-7.61,109.46,84.05,9.08
230,Emerald,64,AU,1542432054,28,-23.53,148.16,94.63,4.72
231,Sawakin,0,SD,1542432055,79,19.1,37.33,77.35,8.19
232,Yaan,8,NG,1542432055,81,7.38,8.57,77.17,10.65
233,Mahina,8,ML,1542432055,62,13.76,-10.85,69.02,5.95
234,Talnakh,76,RU,1542432055,79,69.49,88.39,1.75,19.82
235,Troitsko-Pechorsk,92,RU,1542432055,98,62.71,56.19,32.62,2.93
236,Champerico,75,MX,1542429600,88,16.38,-93.6,64.4,4.7
237,Kindu,0,CD,1542432056,85,-2.95,25.92,75.82,2.71
238,Moose Factory,90,CA,1542430140,79,51.26,-80.61,21.2,19.46
239,Osa,80,RU,1542432056,85,57.28,55.46,29.6,6.62
240,Prince Rupert,90,CA,1542427200,100,54.32,-130.32,39.2,4.7
241,Canutama,44,BR,1542432057,97,-6.53,-64.38,76.49,1.92
242,Pavino,75,RU,1542429000,84,55.02,82.61,6.8,4.47
243,Quime,92,BO,1542432057,97,-16.98,-67.22,51.25,1.36
244,Lorengau,92,PG,1542432057,100,-2.02,147.27,82.07,6.17
245,Heythuysen,0,NL,1542430500,90,51.25,5.9,39.2,8.05
246,Port Lincoln,0,AU,1542432058,73,-34.72,135.86,66.82,14.23
247,Teknaf,12,BD,1542432058,55,20.86,92.31,86.75,3.94
248,Soyaux,90,FR,1542430800,100,45.64,0.19,50.0,9.17
249,Roald,75,NO,1542430200,100,62.58,6.12,48.2,3.36
250,Gaptsakh,48,AZ,1542432059,100,41.67,48.38,45.58,2.93
251,Pacific Grove,75,US,1542430500,82,36.62,-121.92,51.98,3.36
252,Safford,1,US,1542430260,37,32.83,-109.71,39.92,5.82
253,Soto la Marina,0,MX,1542432059,83,23.77,-98.21,51.97,6.17
254,Taoudenni,0,ML,1542432059,65,22.68,-3.98,52.01,5.39
255,Naze,24,NG,1542432060,94,5.43,7.07,72.71,3.04
256,Auki,8,NG,1542432060,42,12.18,6.51,63.4,7.4
257,Yumen,0,CN,1542431955,64,40.29,97.04,28.61,22.5
258,Santa Maria,0,BR,1542432061,60,-29.69,-53.81,66.55,11.32
259,Tiksi,32,RU,1542432061,77,71.64,128.87,-3.84,5.73
260,Neiafu,40,TO,1542430800,69,-18.65,-173.98,80.6,8.19
261,Chifeng,0,CN,1542432062,65,42.27,118.96,34.1,9.42
262,Bambous Virieux,40,MU,1542427200,65,-20.34,57.76,78.8,10.29
263,Okitipupa,8,NG,1542432062,94,6.5,4.78,74.83,2.15
264,Xian,0,ES,1542430800,81,42.76,-8.49,55.4,11.41
265,Rincon,1,US,1542430500,95,32.3,-81.24,42.8,2.82
266,Lingolsheim,0,FR,1542430800,88,48.56,7.68,35.6,5.82
267,Codrington,88,AU,1542432063,100,-28.95,153.24,66.73,3.38
268,Hamilton,90,CA,1542430080,100,43.26,-79.87,37.4,11.41
269,Cayenne,40,GF,1542430800,94,4.94,-52.33,75.2,6.4
270,Gazojak,36,TM,1542432063,80,41.19,61.4,32.98,9.31
271,Venustiano Carranza,5,MX,1542430320,58,19.42,-99.11,57.2,3.36
272,New Plymouth,64,NZ,1542432064,86,-39.06,174.08,61.46,8.19
273,Hami,8,CN,1542431788,61,42.84,93.51,28.52,5.61
274,Carlisle,32,GB,1542430200,93,54.89,-2.94,39.2,9.17
275,Sola,0,NO,1542430200,93,58.89,5.65,44.6,2.24
276,Sheregesh,56,RU,1542432065,73,52.93,87.98,16.46,3.38
277,Mandali,0,IQ,1542432065,98,33.75,45.55,60.11,3.6
278,Kaitangata,100,NZ,1542432065,99,-46.28,169.85,54.89,6.29
279,Lagoa,40,PT,1542429000,88,37.14,-8.45,62.6,11.41
280,Konibodom,24,TJ,1542429000,60,40.3,70.43,42.8,17.9
281,Sibolga,32,ID,1542432066,83,1.74,98.78,79.1,2.59
282,Turtas,80,RU,1542432066,88,58.94,69.13,21.14,3.6
283,Chernushka,80,RU,1542432066,86,56.5,56.08,26.72,8.41
284,Sainte-Rose,90,CA,1542430500,86,45.61,-73.79,28.4,9.17
285,Juneau,90,US,1542430560,100,58.3,-134.42,37.04,3.6
286,Penzance,0,GB,1542430200,93,50.12,-5.53,53.6,26.4
287,San Quintin,75,PH,1542427200,70,17.54,120.52,86.0,6.93
288,Dinajpur,0,BD,1542432067,53,25.63,88.63,81.44,6.62
289,Cururupu,92,BR,1542432067,78,-1.82,-44.87,80.05,8.3
290,Terney,8,RU,1542432068,100,45.05,136.61,32.12,14.56
291,Iquique,20,CL,1542430800,77,-20.22,-70.14,64.4,3.38
292,Bajos de Haina,40,DO,1542430800,94,18.41,-70.03,75.2,2.04
293,Salisbury,90,GB,1542430560,100,51.07,-1.8,48.2,11.41
294,Norsup,0,VU,1542432068,78,-16.07,167.38,81.13,7.29
295,Ust-Kut,48,RU,1542432068,38,56.78,105.75,1.61,6.29
296,Lata,0,IN,1542432069,67,30.78,78.62,51.47,1.92
297,Streator,90,US,1542430500,98,41.12,-88.84,35.06,4.61
298,Pumiao,90,CN,1542427200,82,22.75,108.49,66.2,6.71
299,Zamboanga,20,PH,1542427200,66,6.91,122.07,87.8,6.93
300,Linjiang,48,CN,1542432070,53,41.81,126.91,31.58,4.16
301,Iquitos,75,PE,1542430800,94,-3.75,-73.25,75.2,3.36
302,Fort Saint James,0,CA,1542432070,100,54.43,-124.25,14.8,2.59
303,Assiniboia,24,CA,1542432070,78,49.63,-105.99,-1.99,2.93
304,Panjab,80,AF,1542432070,79,34.38,67.02,34.19,2.37
305,Boa Vista,0,BR,1542427200,69,2.82,-60.67,82.4,10.29
306,Sao Felix do Xingu,8,BR,1542432071,100,-6.64,-51.99,73.07,2.15
307,Chipata,0,ZM,1542432071,52,-13.64,32.65,79.37,11.43
308,Arraial do Cabo,92,BR,1542431910,96,-22.97,-42.02,72.35,11.43
309,Pemba,75,MZ,1542427200,94,-12.97,40.52,78.8,4.72
310,Hambantota,12,LK,1542432072,100,6.12,81.12,83.15,1.48
311,Coruripe,92,BR,1542432072,99,-10.12,-36.18,78.52,13.89
312,Antofagasta,40,CL,1542430800,82,-23.65,-70.4,59.0,1.12
313,Ahipara,88,NZ,1542432073,77,-35.17,173.16,62.81,3.71
314,Novikovo,44,UA,1542432073,100,45.05,34.56,38.69,5.17
315,Bahia Blanca,92,AR,1542431793,100,-38.72,-62.27,60.7,13.11
316,Haines Junction,68,CA,1542432073,92,60.75,-137.51,8.05,2.37
317,Nyurba,32,RU,1542432073,66,63.29,118.35,2.65,4.27
318,Viytivka,92,UA,1542432073,90,48.43,29.54,28.25,10.31
319,Jaciara,44,BR,1542432074,96,-15.95,-54.98,72.58,2.93
320,Haputale,56,LK,1542432074,86,6.77,80.96,79.73,1.92
321,Port Hedland,0,AU,1542430800,21,-20.31,118.58,104.0,16.11
322,Qeshm,75,IR,1542429000,78,26.96,56.27,75.2,4.7
323,Saint-Philippe,90,CA,1542430500,86,45.36,-73.48,29.66,9.17
324,Dukhovnitskoye,0,RU,1542432075,100,52.48,48.21,15.25,2.71
325,Hualmay,48,PE,1542432075,97,-11.1,-77.61,57.28,5.61
326,San Rafael,0,AR,1542432076,23,-34.61,-68.33,65.38,19.82
327,The Pas,1,CA,1542427200,70,53.82,-101.24,1.4,10.29
328,Ternate,75,PH,1542427200,55,14.29,120.72,87.8,8.05
329,Rochester,90,US,1542431760,92,44.02,-92.46,30.2,9.17
330,Christchurch,12,NZ,1542430800,72,-43.53,172.64,60.8,9.17
331,Rauma,8,FI,1542430200,100,61.13,21.5,41.0,5.82
332,Pisco,48,PE,1542430800,87,-13.71,-76.2,60.8,3.36
333,Kazachinskoye,64,RU,1542432077,78,57.69,93.28,4.67,6.62
334,Beaverlodge,20,CA,1542427200,76,55.21,-119.43,-7.61,6.93
335,Yining,88,CN,1542432077,89,29.04,114.56,55.88,3.38
336,Chichibu,1,JP,1542430560,33,35.99,139.07,68.0,17.22
337,Padang,12,ID,1542432078,100,-0.92,100.36,82.34,6.51
338,Carutapera,80,BR,1542432078,82,-1.2,-46.02,80.32,9.64
339,San Patricio,44,PY,1542432078,72,-26.98,-56.83,71.77,4.94
340,Yulara,90,AU,1542430800,28,-25.24,130.99,82.4,13.87
341,Cherskiy,24,RU,1542432079,77,68.75,161.3,-17.65,4.38
342,Yeppoon,44,AU,1542430800,29,-23.13,150.74,91.4,10.29
343,Matagami,24,NG,1542432079,70,9.67,8.4,61.91,3.71
344,Talakan,0,RU,1542432079,52,50.29,130.28,13.31,5.84
345,Ranong,40,TH,1542427200,66,9.96,98.62,89.6,6.93
346,Benghazi,0,LY,1542432080,100,32.12,20.07,70.6,30.0
347,Nishihara,1,JP,1542430560,33,35.74,139.53,68.0,17.22
348,Balkanabat,0,TM,1542432080,70,39.51,54.36,43.55,3.71
349,Laguna,88,MX,1542432080,69,27.52,-110.01,58.94,2.26
350,Makakilo City,90,US,1542430620,81,21.35,-158.09,77.0,4.7
351,Progreso,0,UY,1542430800,76,-34.68,-56.22,55.4,5.82
352,Denpasar,20,ID,1542429000,79,-8.65,115.22,86.0,10.29
353,Staryy Nadym,80,RU,1542432081,91,65.61,72.68,15.65,12.21
354,Dudinka,80,RU,1542432081,83,69.41,86.18,5.66,26.64
355,Itarema,76,BR,1542432081,89,-2.92,-39.92,76.27,11.43
356,Sembakung,88,ID,1542432082,98,3.82,117.25,77.48,2.82
357,Carndonagh,68,IE,1542432082,91,55.25,-7.27,52.78,18.25
358,College,90,US,1542430680,87,64.86,-147.8,15.44,3.71
359,Kendari,24,ID,1542432082,85,-3.99,122.52,86.48,3.15
360,Algeciras,80,ES,1542430800,93,36.13,-5.45,62.6,13.87
361,Iralaya,100,HN,1542432083,100,15.0,-83.23,77.03,7.63
362,Faya,40,SA,1542427200,66,18.39,42.45,59.0,3.38
363,Virginia Beach,1,US,1542430440,82,36.85,-75.98,43.16,4.7
364,Zabaykalsk,24,CN,1542432083,55,49.64,117.33,22.45,8.63
365,Fukuma,75,JP,1542429000,48,33.77,130.47,64.4,6.93
366,Ardakan,0,IR,1542429000,76,32.31,54.02,50.0,4.7
367,Yanam,36,IN,1542432084,81,16.73,82.22,85.13,7.4
368,Guymon,1,US,1542430560,59,36.68,-101.48,47.3,9.17
369,Isangel,12,VU,1542432084,100,-19.55,169.27,75.5,13.0
370,Iskateley,92,RU,1542432084,90,67.68,53.15,33.65,3.83
371,Kozhva,64,RU,1542432084,100,65.11,57.05,32.75,5.17
372,Cabedelo,48,BR,1542432084,96,-6.97,-34.84,78.52,8.52
373,Barentu,0,ER,1542432085,69,15.11,37.59,71.05,4.16
